时间,URL,方法,状态,耗时(ms),错误信息
2026/8/3 14:28:23,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=240&ma=no&datalen=80",GET,失败,231,Load failed
2026/8/3 14:28:23,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=1200&ma=no&datalen=80",GET,失败,231,Load failed
2026/8/3 14:28:23,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=7200&ma=no&datalen=80",GET,失败,231,Load failed
2026/8/3 14:28:23,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=240&ma=no&datalen=80",GET,失败,51,Load failed
2026/8/3 14:28:23,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=1200&ma=no&datalen=80",GET,失败,64,Load failed
2026/8/3 14:28:23,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=7200&ma=no&datalen=80",GET,失败,66,Load failed
2026/8/3 14:28:23,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=240&ma=no&datalen=80",GET,失败,142,Load failed
2026/8/3 14:28:23,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=1200&ma=no&datalen=80",GET,失败,142,Load failed
2026/8/3 14:28:23,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=7200&ma=no&datalen=80",GET,失败,141,Load failed
2026/8/3 14:28:24,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=240&ma=no&datalen=80",GET,失败,154,Load failed
2026/8/3 14:28:24,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=1200&ma=no&datalen=80",GET,失败,152,Load failed
2026/8/3 14:28:24,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=7200&ma=no&datalen=80",GET,失败,149,Load failed
2026/8/3 14:28:24,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600030&scale=240&ma=no&datalen=80",GET,失败,66,Load failed
2026/8/3 14:28:24,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600030&scale=1200&ma=no&datalen=80",GET,失败,61,Load failed
