时间,URL,方法,状态,耗时(ms),错误信息
2026/7/30 15:10:30,"/api/tencent/appstock/app/fqkline/get?param=sh601318,day,,,80,qfq",GET,失败,173,腾讯接口请求失败 (501)
2026/7/30 15:10:30,"/api/tencent/appstock/app/fqkline/get?param=sh601318,week,,,80,qfq",GET,失败,257,腾讯接口请求失败 (501)
2026/7/30 15:10:30,"/api/tencent/appstock/app/fqkline/get?param=sh601318,month,,,80,qfq",GET,失败,247,腾讯接口请求失败 (501)
2026/7/30 15:10:30,"/api/tencent/appstock/app/fqkline/get?param=sh601318,day,,,80,qfq",GET,失败,297,腾讯接口请求失败 (501)
2026/7/30 15:10:30,"/api/tencent/appstock/app/fqkline/get?param=sh601318,week,,,80,qfq",GET,失败,344,腾讯接口请求失败 (501)
2026/7/30 15:10:30,"/api/tencent/appstock/app/fqkline/get?param=sh601318,month,,,80,qfq",GET,失败,336,腾讯接口请求失败 (501)
2026/7/30 15:10:30,"/api/tencent/appstock/app/fqkline/get?param=sh600036,day,,,80,qfq",GET,失败,90,腾讯接口请求失败 (501)
2026/7/30 15:10:30,"/api/tencent/appstock/app/fqkline/get?param=sh600036,week,,,80,qfq",GET,失败,105,腾讯接口请求失败 (501)
2026/7/30 15:10:30,"/api/tencent/appstock/app/fqkline/get?param=sh600036,month,,,80,qfq",GET,失败,106,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sh600036,day,,,80,qfq",GET,失败,201,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sh600036,week,,,80,qfq",GET,失败,229,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sh600036,month,,,80,qfq",GET,失败,222,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sh601166,day,,,80,qfq",GET,失败,93,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sh601166,week,,,80,qfq",GET,失败,174,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sh601166,month,,,80,qfq",GET,失败,174,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sh601166,day,,,80,qfq",GET,失败,197,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sh601166,week,,,80,qfq",GET,失败,189,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sh601166,month,,,80,qfq",GET,失败,197,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sz002142,day,,,80,qfq",GET,失败,114,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sz002142,week,,,80,qfq",GET,失败,123,腾讯接口请求失败 (501)
2026/7/30 15:10:31,"/api/tencent/appstock/app/fqkline/get?param=sz002142,month,,,80,qfq",GET,失败,130,腾讯接口请求失败 (501)
2026/7/30 15:10:32,"/api/tencent/appstock/app/fqkline/get?param=sz002142,day,,,80,qfq",GET,失败,236,腾讯接口请求失败 (501)
2026/7/30 15:10:32,"/api/tencent/appstock/app/fqkline/get?param=sz002142,week,,,80,qfq",GET,失败,245,腾讯接口请求失败 (501)
2026/7/30 15:10:32,"/api/tencent/appstock/app/fqkline/get?param=sz002142,month,,,80,qfq",GET,失败,143,腾讯接口请求失败 (501)
2026/7/30 15:10:32,"/api/tencent/appstock/app/fqkline/get?param=sh600030,day,,,80,qfq",GET,失败,194,腾讯接口请求失败 (501)
2026/7/30 15:10:32,"/api/tencent/appstock/app/fqkline/get?param=sh600030,week,,,80,qfq",GET,失败,194,腾讯接口请求失败 (501)
2026/7/30 15:10:32,"/api/tencent/appstock/app/fqkline/get?param=sh600030,month,,,80,qfq",GET,失败,186,腾讯接口请求失败 (501)
