时间,URL,方法,状态,耗时(ms),错误信息
2026/8/3 14:51:19,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=240&ma=no&datalen=80",GET,成功,7623,
2026/8/3 14:51:19,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=1200&ma=no&datalen=80",GET,成功,7572,
2026/8/3 14:51:19,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601318&scale=7200&ma=no&datalen=80",GET,失败,9008,新浪接口请求失败 (408)
2026/8/3 14:51:28,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=240&ma=no&datalen=80",GET,失败,18014,新浪接口请求失败 (408)
2026/8/3 14:51:28,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=1200&ma=no&datalen=80",GET,失败,9843,Load failed
2026/8/3 14:51:28,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600036&scale=7200&ma=no&datalen=80",GET,成功,3095,
2026/8/3 14:51:46,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=240&ma=no&datalen=80",GET,失败,19608,Load failed
2026/8/3 14:51:46,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=1200&ma=no&datalen=80",GET,失败,19625,Load failed
2026/8/3 14:51:46,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh601166&scale=7200&ma=no&datalen=80",GET,失败,19577,Load failed
2026/8/3 14:52:06,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=240&ma=no&datalen=80",GET,失败,11042,Load failed
2026/8/3 14:52:06,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=1200&ma=no&datalen=80",GET,失败,11029,Load failed
2026/8/3 14:52:06,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sz002142&scale=7200&ma=no&datalen=80",GET,失败,11049,Load failed
2026/8/3 14:52:17,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600030&scale=240&ma=no&datalen=80",GET,进行中,,
2026/8/3 14:52:17,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600030&scale=1200&ma=no&datalen=80",GET,进行中,,
2026/8/3 14:52:17,"/api/sina/quotes_service/api/json_v2.php/CN_MarketData.getKLineData?symbol=sh600030&scale=7200&ma=no&datalen=80",GET,进行中,,
